"","L","X","V","L_3","X_3","V_3","Porcentaje 1","Porcentaje 2","Rank1","Rank2","Tendencia_L","Tendencia_V","Victoria"
"126",3,0,2,2,0,1,39,28,8,9,25,50,"2"
"127",1,2,2,1,1,1,43,28,19,20,55,55,"1"
"128",1,0,4,1,0,2,44,28,11,12,25,60,"1"
"129",0,3,2,0,2,1,42,28,15,14,35,50,"2"
"130",3,2,0,2,1,0,76,9,1,13,90,40,"1"
"131",2,2,1,2,1,0,52,20,6,16,65,25,"2"
"132",2,2,1,1,2,0,43,29,10,5,5,55,"1"
"133",1,0,0,1,0,0,51,22,18,9,15,30,"1"
"134",1,2,2,0,1,2,39,31,13,10,80,70,"2"
"135",3,1,0,2,1,0,34,36,15,4,40,85,"2"
"136",1,1,1,1,1,1,41,28,7,11,70,0,"1"
"137",1,1,3,0,1,2,33,37,22,17,10,80,"1"
"138",3,2,0,1,2,0,51,22,6,8,55,55,"1"
"139",1,1,0,1,1,0,42,29,10,16,10,30,"1"
"140",1,3,1,1,1,1,51,20,14,19,75,10,"1"
"141",0,0,0,0,0,0,44,25,18,7,50,85,"2"
"142",2,0,3,1,0,2,51,22,4,17,90,45,"X"
"143",2,2,1,1,1,1,34,39,11,6,85,20,"X"
"144",0,0,0,0,0,0,39,30,8,3,35,80,"X"
"145",1,2,2,0,1,2,38,30,9,5,85,70,"1"
"146",1,3,0,1,2,0,39,33,22,15,20,45,"2"
"147",2,1,2,1,0,2,32,38,20,1,50,60,"1"
"148",3,1,1,2,0,1,38,33,21,11,50,75,"X"
"149",1,3,1,1,1,1,50,24,3,14,70,20,"1"
"150",0,2,2,0,1,2,58,17,18,17,25,20,"1"
"151",1,1,1,1,1,1,41,31,13,4,60,75,"X"
"152",0,0,1,0,0,1,51,19,5,9,90,40,"X"
"153",1,0,0,1,0,0,46,24,20,22,5,15,"X"
"154",3,1,1,1,1,1,47,26,1,10,30,40,"1"
"155",1,3,1,0,3,0,47,22,6,12,40,90,"1"
"156",0,0,4,0,0,3,33,37,15,8,30,90,"2"
"157",2,0,2,2,0,1,47,28,7,2,35,80,"1"
"158",2,1,1,1,1,1,59,18,7,19,40,75,"1"
"159",0,1,4,0,0,3,17,61,18,2,40,100,"1"
"160",1,2,2,0,2,1,39,31,15,10,55,50,"X"
"161",1,2,2,1,1,1,31,35,8,9,70,40,"1"
"162",1,1,3,1,0,2,41,30,13,6,70,45,"2"
"163",0,0,1,0,0,1,34,34,20,16,40,15,"1"
"164",4,0,1,3,0,0,55,21,5,11,40,15,"X"
"165",1,1,3,0,1,2,30,42,14,3,40,75,"1"
"166",2,2,1,1,1,1,31,42,18,14,10,15,"2"
"167",3,0,2,2,0,1,40,29,11,7,65,75,"2"
"168",0,2,1,0,2,1,48,25,2,4,85,65,"X"
"169",1,1,3,1,1,1,40,33,12,1,55,50,"1"
"170",2,2,1,1,1,1,56,18,3,16,50,55,"1"
"171",2,2,1,1,1,1,63,13,5,20,60,20,"1"
"172",1,0,4,1,0,2,55,20,7,15,60,60,"X"
"173",0,2,3,0,2,1,38,33,18,14,50,40,"1"
"174",4,1,0,3,0,0,74,11,1,10,60,25,"1"
"175",1,0,4,0,0,3,38,32,17,4,5,40,"1"
"176",0,1,4,0,1,2,43,29,9,5,55,45,"X"
